stringId,中文,英文,西班牙语,印度,泰国,越南
common_setting_mode_light,白天模式,Day mode,Modo diurno,Mode siang,โหมดกลางวัน,Chế độ ngày
common_setting_mode_night,黑夜模式,Night mode,Modo nocturno,Mode gelap,โหมดกลางคืน,Chế độ ban đêm
common_setting_mode_auto,自动模式,Automatic mode,Modo automático,Mode otomatis,โหมดอัตโนมัติ,Chế độ tự động
common_setting_vioce,语音相关,Voice related,Voz,Terkait suara,เกี่ยวข้องกับเสียง,Liên quan đến giọng nói
common_setting_unit,单位设置,Unit settings,Ajustes de la unidad,Atur unit,ตั้งค่าหน่วย,Cài đặt đơn vị
conn_setting_ap,个人热点,Personal hotspot,Punto de acceso personal,Hotspot pribadi,ฮอตสปอต,Mạng chia sẻ cá nhân
conn_setting_title_wlan,WLAN,WLAN,WLAN,WLAN,WLAN,WLAN
bluetooth_devices,"""设备""","""Device""","\""Dispositivo\""","""Peralatan""","""อุปกรณ์""","""Thiết bị"""
wlan_net,"""网络""","""Network""","\""Red\""","""Jaringan""","""เครือข่าย""","""Mạng"""
date_and_time_settings_title,时间,Time,Hora,Wkt,เวลา,Thời gian
date_and_time_settings_title_setup_wizard,时间设置,Time settings,Configuración de hora,Atur wkt,ตั้งค่าเวลา,Cài đặt thời gian
date_picker_title,Date,Date,Fecha,Tanggal,วันที่,Ngày
restricted_while_driving,Feature not available while driving.,Feature not available while driving.,Función no disponible mientras se conduce.,Fitur tdk tersedia saat mengemudi.,ฟีเจอร์ไม่ทำงานในขณะขับขี่,Tính năng không khả dụng khi đang lái xe.
working_frequency_str,工作频率,Working frequency,Frecuencia de trabajo,Frekuensi kerja,ความถี่การทำงาน,Tần suất làm việc
machine_name_edit_tip,输入有误，请重新输入\n只允许输入：简体中文、英文大小写、数字、下划线 “_”,"The input is invalid. Please re-input.\nIt only allows simplified Chinese, uppercase and lowercase English, numbers, and underscores as inputs.","La entrada no es válida. Vuelva a introducir. \nSolo se admiten caracteres en chino simplificado, inglés en mayúsculas y minúsculas, números y guiones bajos.","Kesalahan input, harap input kembali\nhanya bisa input: China Sederhana, huruf besar dan kecil Inggris, angka, garis bawah ""_"" ",การป้อนมีข้อผิดพลาด โปรดป้อนใหม่\nป้อนได้เฉพาะ: จีนตัวย่อ อังกฤษพิมพ์เล็กและพิมพ์ใหญ่ ตัวเลข สัญประกาศ “_”,"Lỗi nhập, vui lòng nhập lại\nchỉ cho phép nhập: Tiếng Trung giản thể, tiếng Anh chữ hoa và chữ thường , chữ số, dấu gạch dưới ""_"""
machine_name_edit_tip_too_long,输入有误，请重新输入\n已超出最大字符数,The input is invalid. Please re-input.\nThe maximum number of characters has been exceeded.,La entrada no es válida. Vuelva a introducir.\nSe ha superado el número máximo de caracteres.,"Kesalahan input, harap input kembali\ntelah melebihi jumlah karakter maks",การป้อนมีข้อผิดพลาด โปรดป้อนใหม่\nเกินจำนวนอักษรสูงสุด,"Lỗi nhập, vui lòng nhập lại\nđã vượt quá số ký tự tối đa"
machine_name_edit_tip_n,只允许输入：简体中文、英文大小写、数字、下划线 “_”,"It only allows simplified Chinese, uppercase and lowercase English, numbers, and underscores as inputs.","Solo admite chino simplificado, inglés en mayúsculas y minúsculas, números y guiones bajos.","Hanya bisa input: China Sederhana, huruf besar dan kecil Inggris, angka, garis bawah ""_""",ป้อนได้เฉพาะ: จีนตัวย่อ อังกฤษพิมพ์เล็กและพิมพ์ใหญ่ ตัวเลข สัญประกาศ “_”,"Chỉ cho phép nhập: Tiếng Trung giản thể, tiếng Anh chữ hoa và chữ thường, chữ số, dấu gạch dưới ""_"""
string_user_privacy,用户服务协议,User service agreement,Acuerdo de servicio de usuario,Perjanjian Layanan Pengguna,ข้อตกลงการใช้บริการของผู้ใช้,Thỏa thuận dịch vụ người dùng
string_privacy,隐私保护政策,Privacy protection policy,Política de protección de privacidad,Kebijakan Perlindungan Privasi,นโยบายความเป็นส่วนตัว,Chính sách bảo mật
string_ai_recommended,可通过开关选择是否进行推荐，关闭后则不再推荐，直至下次开启,"Recommendations can be enabled and disabled via a switch. If you turn off the switch, recommendations will not be shown until you turn it on again","Las recomendaciones se pueden activar y desactivar mediante un interruptor. Si apaga el interruptor, las recomendaciones no se mostrarán hasta que lo vuelvas a encender","Dapat pilih apakah akan membuat rekomendasi melalui saklar, setelah ditutup, tdk lagi disarankan hingga lain kali buka lagi",สามารถเลือกว่าจะให้คำแนะนำผ่านสวิตช์หรือไม่ เมื่อปิด คำแนะนำจะไม่ถูกแนะนำอีกจนกว่าจะเปิดในครั้งถัดไป,"Bạn có thể thông qua nút bật tắt để chọn có tiến hành đề xuất hay không, sau khi tắt sẽ không đề xuất lại nữa, cho đến lần bật tiếp theo"
con_bt,蓝牙,Bluetooth,Bluetooth,Bluetooth,บลูทูธ,Bluetooth
con_bt_device,蓝牙设备,Bluetooth device,Dispositivo Bluetooth,Peralatan bluetooth,อุปกรณ์บลูทูธ,Thiết bị Bluetooth
con_wlan,WLAN,WLAN,WLAN,WLAN,WLAN,WLAN
con_wlan_name,无线局域网,WLAN,WLAN,LAN nirkabel,WLAN,Mạng cục bộ không dây
con_hotspot,个人热点,Personal hotspot,Punto de acceso personal,Hotspot pribadi,ฮอตสปอต,Mạng chia sẻ cá nhân
con_hotspot_settings,个人热点设置,Personal hotspot settings,Configuración de punto de acceso personal,Atur hotspot pribadi,ตั้งค่าฮอตสปอต,Cài đặt mạng chia sẻ cá nhân
con_screen,投屏,Projection screen,Pantalla de proyección,Penampilan layar,Miracast,Chiếu màn hình
com_system_theme,系统主题,System theme,Tema del sistema,Tema sistem,ธีมของระบบ,Chủ đề hệ thống
com_theme,主题,Theme,Tema,Tema,ธีม,Chủ\nđề
com_uimode_auto,自动,Auto,Auto,Auto,อัตโนมัติ,Tự động
com_uimode_day,浅色,Light,Luz,Siang,กลางวัน,Ban ngày
com_uimode_night,深色,Dark,Oscuro,Malam,กลางคืน,Ban đêm
air_temperature,空调温度,Air conditioner temperature,Temperatura del aire acondicionado,Suhu AC,อุณหภูมิแอร์,Nhiệt độ điều hòa
scene_wind_speed,空调风速,A/C wind speed,Velocidad del viento de A/C,Kecepatan angin AC,ลมแอร์,Tốc độ gió điều hòa
con_screen_projection,投屏,Projection screen,Pantalla de proyección,Penampilan layar,Miracast,Chiếu màn hình
con_wifi_current_connected,当前连接,Current connection,Conexión actual,Koneksi saat ini,ปัจจุบันเชื่อมต่อ,Kết nối hiện tại
con_wifi_disconnect,断开,Disconnect,Desconectar,Putus,ตัดขาด,Ngắt
con_wifi_saved,已保存网络,Network saved,Red guardada,Jaringan yg disimpan,บันทึกเครือข่ายแล้ว,Mạng đã lưu
con_wifi_other,其它网络,Other networks,Otras redes,Jaringan lain,เครือข่ายอื่น,Mạng khác
con_wifi_delete,删除,Delete,Borrar,Hapus,ลบ,Xóa
con_wifi_out_of_range,此Wifi不在范围内,This WiFi is not in range,Este WiFi no está dentro del alcance.,WiFi  ini di luar jangkauan,WiFi นี้ไม่อยู่ในขอบเขต,WiFi này ngoài vùng phủ sóng
con_wifi_please_input_pwd,请输入“%1s”密码,"Please enter ""%1s"" password","Por favor, introduzca \""%1s\"" contraseña","Silakan input ""%1s"" kata sandi",โปรดป้อนรหัสผ่าน “%1s”,"Xin vui lòng nhập mật khẩu ""%1s"""
con_wifi_input_pwd,输入密码,Enter password,Introducir la contraseña,Input kata sandi,ป้อนรหัสผ่าน,Nhập mật khẩu
con_bt_bond_list,已配对列表,Paired list,Lista emparejada,Daftar yg sdh dipasangkan,รายการจับคู่แล้ว,Danh sách ghép
con_bt_avai_devices,其他可用设备,Other available device,Otro dispositivo disponible,Peralatan lain yg tersedia,อุปกรณ์ที่ใช้ได้อื่นๆ,Thiết bị khả dụng khác
con_bt_unavai_devices,其他不可用设备,Other unavailable devices,Otros dispositivos no disponibles,Peralatan lain yg tdk tersedia,อุปกรณ์ที่ใช้ไม่ได้อื่นๆ,Thiết bị không khả dụng khác
con_bt_unavai_devices_title,不可用蓝牙设备,Other unavailable Bluetooth devices,Otros dispositivos Bluetooth no disponibles,Peralatan bluetooth lain yg tdk tersedia,ไม่สามารถใช้อุปกรณ์บลูทูธได้,Không thể sử dụng thiết bị Bluetooth
con_bt_pairing_success_toast_phone,已连接手机「%s」,Cellphone connected「%s」,Teléfono móvil conectado「%s」,Hp yg terhubung「%s」,เชื่อมต่อโทรศัพท์ “%s” แล้ว,Đã kết nối điện thoại 「%s」
con_bt_pairing_success_toast_handshank,已连接手柄「%s」,Handle connected「%s」,Manija conectada「%s」,Pegangan terhubung「%s」,เชื่อมต่อจอยสติ๊ก “%s” แล้ว,Đã kết nối tay cầm 「%s」
con_bt_pairing_success_toast_headset,已连接耳机「%s」,Earphone connected「%s」,Auricular conectado「%s」,Hp terhubung「%s」,เชื่อมต่อหูฟัง “%s” แล้ว,Đã kết nối tai nghe 「%s」
con_bt_talkback_computer,计算机,Computer,Ordenador,Komputer,เครื่องคิดเลข,Máy tính
con_bt_talkback_input_peripheral,外围输入设备,Peripheral input device,Dispositivo periférico de entrada ,Peralatan input periferal,อุปกรณ์อินพุตต่อพ่วง,Thiết bị đầu vào ngoại vi
con_bt_talkback_headset,耳麦,Headset,Auriculares,Headset,ชุดหูฟัง,Tai nghe
con_bt_talkback_phone,手机,Cellphone,Teléfono móvil,Hp,โทรศัพท์,Điện thoại
con_bt_talkback_imaging,成像设备,Imaging device,Dispositivo de imagen,Peralatan pencitraan,อุปกรณ์ถ่ายภาพ,Thiết bị hình ảnh
con_bt_talkback_headphone,耳机,Earphone,Auricular,Earphone,หูฟัง,Tai nghe
con_bt_talkback_bluetooth,蓝牙,Bluetooth,Bluetooth,Bluetooth,บลูทูธ,Bluetooth
con_bt_type_phone,手机设备,Cellphone devices,Dispositivos móviles,Peralatan hp,อุปกรณ์โทรศัพท์,Thiết bị điện thoại
con_bt_type_misc,麦克风,Microphone,Micrófono,Mikrofon,ไมโครโฟน,Micro
con_bt_type_toy,游戏外设,Game peripherals,Periféricos de juego,Periferal game,อุปกรณ์ต่อพ่วงเกม,Thiết bị ngoại vi trò chơi
con_bt_type_bluetooth,蓝牙设备,Bluetooth device,Dispositivo Bluetooth,Peralatan bluetooth,อุปกรณ์บลูทูธ,Thiết bị Bluetooth
con_bt_connected,已连接,Connected,Conectado,Terhubung,เชื่อมต่อแล้ว,Đã kết nối
con_bt_disconnected,未连接,Not connected,No conectado,Blm terhubung,ยังไม่เชื่อมต่อ,Chưa kết nối
con_bt_connect,连接设备,Connect device,Conectar dispositivo,Peralatan terhubung,เชื่อมต่ออุปกรณ์,Thiết bị kết nối
con_bt_other_devices,其它可用设备,Other available device,Otro dispositivo disponible,Peralatan lain yg tersedia,อุปกรณ์ที่ใช้ได้อื่นๆ,Thiết bị khả dụng khác
con_bt_profile_pbap,通话通道,Call channel,Canal de llamada,Saluran panggilan,ช่องทางการโทร,Kênh gọi
con_bt_profile_a2dp,音频通道,Audio channel,Canal de audio,Saluran audio,ช่องสัญญาณเสียง,Kênh âm thanh
con_bt_default_device,默认连接设备,Default connected device,Dispositivo conectado predeterminado,Peralatan koneksi default,ค่าเริ่มต้นเชื่อมต่ออุปกรณ์,Thiết bị kết nối mặc định
con_bt_set_default_device,设置默认设备,Set default device,Establecer dispositivo predeterminado,Atur peralatan default,ตั้งค่าอุปกรณ์ค่าเริ่มต้น,Cài đặt thiết bị mặc định
con_bt_disconnect_tips_title,提醒,Warning,Advertencia,Pengingat,แจ้งเตือน,Nhắc nhở
con_bt_disconnect_two_profile_tips,蓝牙音频与通话通道全部关闭\n将导致蓝牙设备断开,Closing all Bluetooth audio and call channels\nwill cause Bluetooth device to disconnect,El cierre de todos los canales de audio y llamadas de Bluetooth\nhará que el dispositivo Bluetooth se desconecte,Tutup semua audio bluetooth dan saluran panggilan\nakan menyebabkan peralatan bluetooth terputus,เสียงบลูทูธและช่องทางการโทรถูกปิดทั้งหมด\nจะทำให้อุปกรณ์บลูทูธตัดขาด,Tắt tất cả các kênh cuộc gọi và âm thanh Bluetooth\nsẽ khiến thiết bị Bluetooth bị ngắt kết nối
con_bt_forget_tips,确认删除已配对设备%s？,Are you sure to delete the paired %s device?,¿Desea eliminar el dispositivo %s emparejado?,Apakah yakin hapus perangkat yg dipasangkan%s?,ยืนยันลบอุปกรณ์%sที่จับคู่แล้ว?,Có chắc chắn xóa thiết bị đã ghép không %s?
con_bt_disconnect_tips,确认断开已连接设备%s？,Are you sure to disconnect the connected %s device?,¿Desea desconectar el dispositivo %s conectado?,Apakah yakin putus perangkat yg terhubung%s?,ยืนยันลบอุปกรณ์%sที่เชื่อมต่อแล้ว?,Có chắc ngắt kết nối thiết bị đã kết nối không %s?
btn_cancel,取消,Cancel,Cancelar,Batal,ยกเลิก,Hủy
btn_positive,确认,OK,OK,Yakin,ตกลง,Xác nhận
btn_ok,好的,OK,OK,Baik,ตกลง,OK
btn_done,完成,Done,Hecho,Selesai,สำเร็จ,Hoàn thành
btn_sava,保存,Save,Guardar,Simpan,บันทึก,Lưu
btn_not_sava,不保存,Not save,No guardar,Tdk simpan,ไม่บันทึก,Không lưu
btn_disconnect,断开,Disconnect,Desconectar,Putus,ตัดขาด,Ngắt
btn_retry,重试,Retry,Reintentar,Coba lagi,ลองใหม่,Thử lại
btn_bt_forget,删除,Delete,Borrar,Hapus,ลบ,Xóa
btn_login,立即登录,Login now,Iniciar sesión,Sgr masuk,ล็อกอินทันที,Lập tức đăng nhập
btn_call,呼叫,Call,Llamar,Panggil,โทร,Gọi
con_bt_not_connect,未连接,Not connected,No conectado,Blm terhubung,ยังไม่เชื่อมต่อ,Chưa kết nối
con_wifi_not_connect,未连接,Not connected,No conectado,Blm terhubung,ยังไม่เชื่อมต่อ,Chưa kết nối
con_hotspot_pwd_hint,密码最少8位，必须是字母、数字或“_”,"The password must contain letters, numbers or ""_"", with the minimum length of 8 characters.","La contraseña debe contener letras, números o \""_\"", con una longitud mínima de 8 caracteres.","Kata sandi harus minimal 8 karakter dan harus huruf, angka atau ""_""","รหัสผ่านน้อยสุด 8 หลัก จะต้องเป็นตัวอักษร,ตัวเลข หรือ “_”","Mật khẩu phải có ít nhất 8 ký tự và phải là chữ cái, số hoặc ""_"""
con_hotspot_set_password,个人热点密码,Personal hotspot password,Contraseña de punto de acceso personal,Kata sandi hotspot pribadi,รหัสผ่านฮอตสปอต,Mật khẩu mạng chia sẻ cá nhân
com_light_icu_light_disable,仪表亮度设置,Instrument brightness settings,Configuración de brillo del instrumento,Atur kecerahan meteran,ตั้งค่าความสว่างของมิเตอร์,Cài đặt độ sáng Bảng đồng hồ
com_light_icu_light,仪表亮度设置：%d,Instrument brightness settings: %d,Configuraciones de brillo del instrumento: %d,Atur kecerahan meteran: %d,ตั้งค่าความสว่างของมิเตอร์: %d,Cài đặt độ sáng Bảng đồng hồ: %d
com_light_hub_set,中控亮度设置：%d,Head unit brightness settings: %d,Configuración de brillo de la unidad principal: %d,Atur kecerahan kontrol pusat: %d,ตั้งค่าความสว่างควบคุมภายใน: %d,Cài đặt độ sáng Trung tâm điều khiển : %d
com_light_autolight,自动调节屏幕亮度,Auto adjustment of brightness,Ajuste automático del brillo,Sesuaikan kecerahan layar scr otomatis,ปรับความสว่างหน้าจออัตโนมัติ,Tự động điều chỉnh độ sáng màn hình
con_tether_password_error,密码不符合要求，请修改,The password is invalid. Please change it.,La contraseña no es válida. Por favor cámbielo.,"Kata sandi tdk memenuhi persyaratan, harap ubah",รหัสผ่านไม่สอดคล้องกับความต้องการ โปรดแก้ไข,"Mật khẩu không phù hợp yêu cầu, vui lòng thay đổi"
com_recommend_i_Konw,知道了,OK,OK,Oke,ทราบแล้ว,OK
com_font_set,字体设置,Font settings,Configuración de fuente,Atur font,ตั้งค่าแบบอักษร,Cài đặt phông chữ
com_font_scale,字体大小,Font\nsize,Tamaño de\nfuente,Ukuran font,ขนาดอักษร,Cỡ chữ
com_brightness,屏幕亮度,Screen brightness,Brillo de la pantalla,Kecerahan layar,ความสว่างหน้าจอ,Độ sáng màn hình
com_brightness_setting,屏幕亮度设置,Screen brightness settings,Configuración de brillo de la pantalla,Atur kecerahan layar,ตั้งค่าความสว่างหน้าจอ,Cài đặt độ sáng màn hình
com_sound,声音,Voice,Voz,Suara,เสียง,Âm thanh
com_sound_setting,声音设置,Voice settings,Configuración de voz,Atur suara,ตั้งค่าเสียง,Cài đặt âm thanh
app_name_bluetooth,车内蓝牙,In-car Bluetooth,Bluetooth en el vehículo,Bluetooth dlm mobil,บลูทูธภายในรถ,Bluetooth trong xe
bt_leve_load,正在搜索,Searching,Buscando,Lg cari,กำลังค้นหา,Đang tìm kiếm
bt_leve_empty,无蓝牙功能,No Bluetooth feature,Sin función Bluetooth,Tiada fungsi bluetooth,ไม่มีฟังก์ชันบลูทูธ,Không có chức năng Bluetooth
bt_leve1_list2_title3,已配对过的设备,Paired device,Dispositivo emparejado,Peralatan yg sdh dipasangkan,อุปกรณ์ที่เคยจับคู่แล้ว,Thiết bị đã được ghép
bt_leve1_list2_title4,可用设备,Available device,Dispositivo disponible,Peralatan yg tersedia,อุปกรณ์ที่ใช้ได้,Thiết bị khả dụng
bt_leve1_list2_empty,无可用蓝牙设备,No Bluetooth device available,No hay ningún dispositivo Bluetooth disponible,Tiada peralatan bluetooth yg tersedia,ไม่มีอุปกรณ์บลูทูธที่ใช้ได้,Không thể dùng thiết bị Bluetooth
bt_status_title,蓝牙连接,Bluetooth connection,Conexión Bluetooth,Koneksi bluetooth,เชื่อมต่อบลูทูธ,Kết nối Bluetooth
bt_device_name_title,设备名称,Device name,Nombre del dispositivo,Nama perangkat,ชื่ออุปกรณ์,Tên thiết bị
bt_device_action_search,刷新,Refresh,Actualizar,Segarkan,รีเฟรช,Làm mới
bt_device_mac,MAC地址,MAC address,Dirección MAC,Alamat MAC,ที่อยู่ MAC,Địa chỉ MAC
bt_device_forget,忘记此设备,Forget this device,Olvidar el dispositivo,Lupa perangkat ini,ลืมอุปกรณ์นี้,Quên thiết bị này
bt_dev_conn_notall_title,提示,Prompt,Aviso,Pengingat,แจ้งเตือน,Nhắc nhở
bt_dev_call_title,通话音频,Call audio,Llamada de audio,Audio panggilan,เสียงการโทร,Âm tần cuộc gọi
bt_dev_music_title,媒体音频,Media audio,Audio multimedia,Audio media,เสียงมีเดีย,Âm tần đa phương tiện
bt_dev_connected,已连接,Connected,Conectado,Terhubung,เชื่อมต่อแล้ว,Đã kết nối
bt_dev_conn_notall,已连接（%s）,Connected (%s),Conectado (%s),Terhubung (%s),เชื่อมต่อแล้ว (%s),Đã kết nối (%s)
bt_dev_conn_no_hfpclient,无通话，,"No calls,","Sin llamadas,","Tiada panggilan,","ไม่มีการโทร,","Không có cuộc gọi,"
bt_dev_conn_no_a2dpsink,无媒体，,"No media,","Sin multimedia,","Tiada media,","ไม่มีมีเดีย,","Không có phương tiện truyền thông,"
bt_dev_conn_no_pbap,无通讯录，,"No Contacts,","Sin contactos,","Tiada daftar kontak,","ไม่มีรายชื่อผู้ติดต่อ,",Không có danh bạ
bt_dev_conn_no_a2dp,无媒体，,"No media,","Sin multimedia,","Tiada media,","ไม่มีมีเดีย,","Không có phương tiện truyền thông,"
bt_dev_conn_no_headset,无电量，,"No battery power,","Sin batería,","Tiada listrik,","ไม่มีประจุไฟฟ้า,","Không có lượng điện,"
bt_devices_paired_desc,已保存,Saved,Guardado,Sdh simpan,บันทึกแล้ว,Đã lưu
bt_right_conning,正在与「%s」建立连接…,Connecting「%s」...,Conectando「%s」...,Membuat koneksi dgn 「%s」...,กำลังสร้างการเชื่อมต่อกับ “%s”...,Đang thiết lập kết nối với 「%s」
bt_right_disconning,正在与「%s」断开连接…,Disconnecting「%s」...,Desconectando「%s」...,Putus koneksi dgn 「%s」...,กำลังตัดการเชื่อมต่อกับ “%s”...,Đang ngắt kết nối với 「%s」
bt_right_conned,成功与「%s」建立连接,Connection with「%s」successfully established,Conexión con「%s」establecida con éxito,Berhasil membuat koneksi dgn 「%s」,สร้างการเชื่อมต่อกับ “%s” สำเร็จ,Thành công thiết lập kết nối với 「%s」
bt_category_phone,"""蓝牙手机""","""Bluetooth cellphone""","\""Teléfono móvil con Bluetooth\""","""Hp bluetooth""","""โทรศัพท์บลูทูธ""","""Điện thoại Bluetooth"""
bt_category_microphone,"""蓝牙麦克风""","""Bluetooth microphone""","\""Micrófono Bluetooth\""","""Mikrofon bluetooth""","""ไมโครโฟนบลูทูธบลูทูธ""","""Micro Bluetooth"""
bt_category_toy,"""蓝牙手柄""","""Bluetooth handle""","\""Manija Bluetooth\""","""Pegangan bluetooth""","""จอยสติ๊กบลูทูธ""","""Tay cầm Bluetooth"""
bt_toast_connecting,正在连接中…,Connecting,Conectando,Sambungkan...,กำลังเชื่อมต่อ...,Đang kết nối…
bt_toast_bond_succeed,配对成功,Pairing successful,Emparejamiento exitoso,Berhasil pasangkan,จับคู่สำเร็จ,Ghép thành công
bt_toast_bond_failed,配对失败,Pairing failed,Falló el emparejamiento,Gagal pasangkan,จับคู่ล้มเหลว,Ghép thất bại
bt_toast_connecting_to_disconnected,连接断开,Disconnect,Desconectar,Putus koneksi,ตัดขาดการเชื่อมต่อ,Ngắt kết nối
bt_toast_disconnected,蓝牙已断开,Bluetooth disconnected,Bluetooth desconectado,Bluetooth terputus,ตัดขาดบลูทูธแล้ว,Bluetooth đã ngắt kết nối
bt_toast_connected,蓝牙已连接,Bluetooth connected,Bluetooth conectado,Bluetooth sdh terhubung,เชื่อมต่อบลูทูธแล้ว,Bluetooth đã kết nối
sound_balance,"""左右平衡:%d""","""Left and right balance: %d""","\""Equilibrio izquierda y derecha: %d\""","""Keseimbangan kiri dan kanan: %d""","""สมดุลซ้ายและขวา: %d""","""Cân bằng trái phải: %d"""
sound_fade,"""前后平衡:%d""","""Front and rear balance: %d""","\""Equilibrio delantero y trasero: %d\""","""Keseimbangan depan dan belakang: %d""","""สมดุลหน้าและหลัง: %d""","""Cân bằng trước sau: %d"""
sound_db_value,%ddb,%ddb,%ddb,%dDB,%d DB,%d db
click_too_fast,点击太快,Tap too fast,Toca muy rápido,Klik terlalu cepat,แตะเร็วเกินไป,Nhấn quá nhanh
wlan_password_error_dialog_ok,确认,OK,OK,Yakin,ตกลง,Xác nhận
wlan_delete_dialog_title,删除历史网络,Delete history network,Borrar el historial de la red,Hapus jaringan riwayat,ลบประวัติเครือข่าย,Xóa mạng lịch sử
wlan_delete_dialog_content,是否确认删除“%s”,"Do you want to delete ""%s""?","¿Desea borrar \""%s\""?","Apakah yakin hapus ""%s""",ยืนยันลบ “%s”หรือไม่,"Có xác nhận muốn xóa ""%s"" không"
wlan_delete_dialog_delete,确认删除,Confirm deletion,Confirmar la eliminación,Yakin hapus,ยืนยันการลบ,Xác nhận xóa
wlan_delete_dialog_cancel,取消,Cancel,Cancelar,Batal,ยกเลิก,Hủy
wlan_disconnect_dialog_disconnect,确认断开,Confirm disconnection,Confirmar la desconexión,Yakin putus,ยืนยันการตัดขาด,Xác nhận ngắt
wlan_disconnect_dialog_cancel,取消,Cancel,Cancelar,Batal,ยกเลิก,Hủy
wlan_connect_failed_dialog_ok,确认,OK,OK,Yakin,ตกลง,Xác nhận
bt_pairing_request,"将与设备配对：
        ","To be paired with the device: 
    ","Para emparejarse con el dispositivo:
    ","Akan dipasangkan dgn perangkat: 
               ","จับคู่กับอุปกรณ์:
        ","Sẽ ghép với thiết bị:
        "
bt_pairing_request_device,"配对密钥为：
        ","The pairing key is: 
    ","La clave de emparejamiento es:
    ","Kunci pasangkannya adlh: 
               ","คีย์การจับคู่คือ:
        ","Mã khóa ghép là：
        "
bt_pairing_request_error_message,"""无法与“","""Unable to pair with ""","\""No se puede emparejar con \""","""Tdk dapat pasangkan dgn ""","""ไม่สามารถจับคู่กับ “","""Không thể tiến hành ghép với """
bt_pairing_pin_values_hint,通常是0000或1234,Usually 0000 or 1234,Generalmente 0000 o 1234,Biasanya adlh 0000 atau 1234,โดยปกติจะเป็น 0000 หรือ 1234,Thông thường là 0000 hoặc 1234
bt_pairing_enable_alphanumeric_pin,PIN包含字母或符号,PIN contains letters or symbols,El PIN contiene letras o símbolos,PIN berisi huruf atau simbol,PIN ประกอบด้วยตัวอักษรหรือสัญลักษณ์,Mã PIN chứa các chữ cái hoặc ký hiệu
